trackid,firstposx,firstposy,firstposz,firstpost,momx,momy,momz,charge,chi2ndf,type,hitid,muonid,recox,recoy,recoz,recot
0,198.779,31.4835,47.7,90,75.8712,39.5829,-12.0443,1,0,0,0,14,198.779,31.4835,47.7,90
0,198.779,31.4835,47.7,90,75.8712,39.5829,-12.0443,1,0,0,1,14,163.685,-0,40.9946,90
0,198.779,31.4835,47.7,90,75.8712,39.5829,-12.0443,1,0,0,2,14,152.099,-24.0901,37.06,90
0,198.779,31.4835,47.7,90,75.8712,39.5829,-12.0443,1,0,0,3,14,148.084,-48.1155,33.64,90
0,198.779,31.4835,47.7,90,75.8712,39.5829,-12.0443,1,0,0,4,14,151.092,-76.9854,29.46,90
1,281.674,-44.6128,-75.25,175,-78.2729,-269.165,26.2201,1,0,0,0,18,281.674,-44.6128,-75.25,175
1,281.674,-44.6128,-75.25,175,-78.2729,-269.165,26.2201,1,0,0,1,18,266.167,-86.483,-79.43,175
1,281.674,-44.6128,-75.25,175,-78.2729,-269.165,26.2201,1,0,0,2,18,245.299,-124.986,-83.42,175
1,281.674,-44.6128,-75.25,175,-78.2729,-269.165,26.2201,1,0,0,3,18,219.345,-159.363,-87.22,175
1,281.674,-44.6128,-75.25,175,-78.2729,-269.165,26.2201,1,0,0,4,18,189.43,-189.43,-90.83,175
1,281.674,-44.6128,-75.25,175,-78.2729,-269.165,26.2201,1,0,0,5,18,155.901,-214.58,-94.82,175
1,281.674,-44.6128,-75.25,175,-78.2729,-269.165,26.2201,1,0,0,6,18,81.4337,-250.627,-102.13,175
1,281.674,-44.6128,-75.25,175,-78.2729,-269.165,26.2201,1,0,0,7,18,41.2541,-260.468,-105.93,175
1,281.674,-44.6128,-75.25,175,-78.2729,-269.165,26.2201,1,0,0,8,18,1.62172e-14,-264.855,-109.73,175
1,281.674,-44.6128,-75.25,175,-78.2729,-269.165,26.2201,1,0,0,9,18,-41.7297,-263.471,-113.53,175
1,281.674,-44.6128,-75.25,175,-78.2729,-269.165,26.2201,1,0,0,10,18,-83.2538,-256.229,-117.33,175
1,281.674,-44.6128,-75.25,175,-78.2729,-269.165,26.2201,1,0,0,11,18,-123.778,-242.928,-121.13,175
1,281.674,-44.6128,-75.25,175,-78.2729,-269.165,26.2201,1,0,0,12,18,-162.49,-223.649,-125.12,175
1,281.674,-44.6128,-75.25,175,-78.2729,-269.165,26.2201,1,0,0,13,18,-198.566,-198.566,-129.3,175
1,281.674,-44.6128,-75.25,175,-78.2729,-269.165,26.2201,1,0,0,14,18,-231.027,-167.851,-133.86,175
2,-149.064,-1.82545e-14,-119.23,205,-86.3148,-59.2741,33.0088,1,0,0,0,24,-149.064,-1.82545e-14,-119.23,205
2,-149.064,-1.82545e-14,-119.23,205,-86.3148,-59.2741,33.0088,1,0,0,1,24,-126.694,20.0664,-109.73,205
2,-149.064,-1.82545e-14,-119.23,205,-86.3148,-59.2741,33.0088,1,0,0,2,24,-114.474,37.1948,-103.27,205
2,-149.064,-1.82545e-14,-119.23,205,-86.3148,-59.2741,33.0088,1,0,0,3,24,-101.613,73.8262,-91.02,205
2,-149.064,-1.82545e-14,-119.23,205,-86.3148,-59.2741,33.0088,1,0,0,4,24,-101.754,101.754,-81.9,205
3,239.698,-122.132,35.92,405,55.0299,-55.6478,-4.53348,1,0,0,0,37,239.698,-122.132,35.92,405
3,239.698,-122.132,35.92,405,55.0299,-55.6478,-4.53348,1,0,0,1,37,142.723,-103.694,29.84,405
3,239.698,-122.132,35.92,405,55.0299,-55.6478,-4.53348,1,0,0,2,37,119.102,-119.102,27.75,405
3,239.698,-122.132,35.92,405,55.0299,-55.6478,-4.53348,1,0,0,3,37,102.519,-141.105,24.71,405
3,239.698,-122.132,35.92,405,55.0299,-55.6478,-4.53348,1,0,0,4,37,92.4378,-181.419,18.82,405
4,164.165,225.954,-38.58,425,77.2932,-156.885,19.0985,1,0,0,0,64,164.165,225.954,-38.58,425
4,164.165,225.954,-38.58,425,77.2932,-156.885,19.0985,1,0,0,1,64,180.026,180.026,-43.9,425
4,164.165,225.954,-38.58,425,77.2932,-156.885,19.0985,1,0,0,2,64,184.086,133.746,-48.65,425
4,164.165,225.954,-38.58,425,77.2932,-156.885,19.0985,1,0,0,3,64,178.65,91.0267,-53.21,425
4,164.165,225.954,-38.58,425,77.2932,-156.885,19.0985,1,0,0,4,64,165.737,53.8513,-57.58,425
4,164.165,225.954,-38.58,425,77.2932,-156.885,19.0985,1,0,0,5,64,148.627,23.5403,-61.76,425
4,164.165,225.954,-38.58,425,77.2932,-156.885,19.0985,1,0,0,6,64,129.784,-0,-65.18,425
4,164.165,225.954,-38.58,425,77.2932,-156.885,19.0985,1,0,0,7,64,110.829,-17.5536,-67.84,425
5,-282.237,-44.7019,-17.68,445,46.8812,178.304,12.3695,1,0,0,0,71,-282.237,-44.7019,-17.68,445
5,-282.237,-44.7019,-17.68,445,46.8812,178.304,12.3695,1,0,0,1,71,-264.665,-3.2411e-14,-20.91,445
5,-282.237,-44.7019,-17.68,445,46.8812,178.304,12.3695,1,0,0,2,71,-206.898,67.2251,-26.61,445
5,-282.237,-44.7019,-17.68,445,46.8812,178.304,12.3695,1,0,0,3,71,-138.38,100.539,-32.5,445
5,-282.237,-44.7019,-17.68,445,46.8812,178.304,12.3695,1,0,0,4,71,-106.204,106.204,-34.78,445
5,-282.237,-44.7019,-17.68,445,46.8812,178.304,12.3695,1,0,0,5,71,-77.5193,106.696,-36.87,445
5,-282.237,-44.7019,-17.68,445,46.8812,178.304,12.3695,1,0,0,6,71,-52.8687,103.761,-38.77,445
5,-282.237,-44.7019,-17.68,445,46.8812,178.304,12.3695,1,0,0,7,71,-32.0085,98.512,-40.48,445
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,0,71,92.3484,-47.0538,-51.31,445
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,1,71,91.7924,-66.6911,-52.45,445
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,2,71,88.1298,-88.1298,-53.5468,445
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,3,71,67.5833,-132.64,-56.44,447.5
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,4,71,49.9356,-153.686,-57.96,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,5,71,27.1983,-171.723,-59.48,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,6,71,1.13371e-14,-185.155,-61,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,7,71,-30.554,-192.91,-62.9,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,8,71,-62.8803,-193.526,-65.18,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,9,71,-95.1405,-186.724,-68.03,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,10,71,-125.189,-172.308,-70.88,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,11,71,-150.469,-150.469,-74.11,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,12,71,-169.695,-123.291,-76.96,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,13,71,-181.476,-92.4665,-79.81,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,14,71,-185.936,-60.4144,-82.85,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,15,71,-182.688,-28.9349,-85.32,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,16,71,-172.425,-2.11153e-14,-87.79,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,17,71,-156.702,24.8192,-90.26,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,18,71,-137.423,44.6514,-92.73,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,19,71,-116.11,59.1608,-95.2,450
6,92.3484,-47.0538,-51.31,445,5.09718,-132.122,7.667,1,0,0,20,71,-94.4568,68.6269,-97.29,450
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,0,57,96.3481,189.094,-1.72,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,1,57,114.357,157.398,-2.1,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,2,57,126.414,126.414,-2.48,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,3,57,132.757,96.4536,-3.05,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,4,57,135.01,68.7909,-3.43,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,5,57,133.886,43.5023,-3.62,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,6,57,130.518,20.672,-4,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,7,57,125.495,-0,-4.19,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,8,57,118.883,-18.8292,-4.38,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,9,57,111.221,-36.138,-4.57,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,10,57,102.337,-52.1431,-4.76,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,11,57,92.1511,-66.9517,-4.76,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,12,57,80.9931,-80.9931,-4.95,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,13,57,68.2918,-93.9956,-5.71,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,14,57,54.0408,-106.061,-6.28,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,15,57,38.0755,-117.184,-6.85,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,16,57,20.1667,-127.328,-7.61,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,17,57,8.31232e-15,-135.755,-8.18,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,18,57,-22.5148,-142.153,-9.32,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,19,57,-47.4516,-146.041,-10.46,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,20,57,-74.6233,-146.456,-11.79,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,21,57,-103.44,-142.373,-13.5,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,22,57,-133.208,-133.208,-15.21,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,23,57,-162.778,-118.265,-16.92,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,24,57,-190.448,-97.0382,-18.44,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,25,57,-214.668,-69.7498,-19.96,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,26,57,-233.82,-37.0335,-21.48,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,27,57,-245.855,-3.01076e-14,-23.19,455
7,96.3481,189.094,-1.72,455,120.408,-178.739,2.24434,1,0,0,28,57,-249.349,39.4931,-24.9,455
